Details,Sta ID,Route,BEGIN_MP,END_MP,County,AADT,Year,Map,
,034N24,034-CS-2629  -000,0.1470,0.6360,Fayette,3041,2023,,
,034E53,034-KY-1681  -000,2.45,5.5440,Fayette,3038,2022,,
,034N13,034-CS-2491  -000,0,0.3780,Fayette,2978,2024,,
,034N71,034-CS-1257  -000,1.6970,2.1710,Fayette,2973,2023,,
,034N43,034-CS-3198  -000,0.71,1.5830,Fayette,2970,2023,,
,034B19,034-CS-4463  -000,0,0.4530,Fayette,2947,2022,,
,034N12,034-CS-3725  -000,0,0.7860,Fayette,2936,2024,,
,034N12,034-CS-3823  -000,0,0.2920,Fayette,2936,2024,,
,034308,034-KY-1927  -000,3.7890,8.34,Fayette,2920,2023,,
,034045,034-KY-0922  -000,5.6570,8.7980,Fayette,2916,2024,,
,034D51,034-CS-4634  -000,0,0.4230,Fayette,2898,2024,,
,034N06,034-CS-1373  -000,0,0.2340,Fayette,2866,2024,,
,034N68,034-CS-3703  -000,0,0.2820,Fayette,2795,2023,,
,034B24,034-CS-4927  -000,0,0.7690,Fayette,2783,2024,,
,034M80,034-CS-3513  -000,0,0.5750,Fayette,2759,2022,,
,034N47,034-CS-4200  -000,0,0.2170,Fayette,2741,2023,,
,034N53,034-CS-4512  -000,0.3890,0.9960,Fayette,2721,2024,,
,034B15,034-CS-2494  -000,0.4610,0.8740,Fayette,2714,2024,,
